Year,Region,State,Total,Male,Female
2011,Midwest,Missouri,136,130,6
2011,Midwest,Nebraska,39,30,9
2011,Midwest,North Dakota,21,10,11
2011,Midwest,Ohio,237,230,7
2011,Midwest,South Dakota,21,10,11
2011,Midwest,Wisconsin,103,90,13
2011,Northeast,Connecticut,54,50,4
2011,Northeast,Maine,46,40,6
2011,Northeast,Massachusetts,70,60,10
2011,Northeast,New Hampshire,30,20,10
2011,Northeast,New Jersey,71,60,11
2011,Northeast,New York,216,200,16
2011,Northeast,Pennsylvania,253,243,10
2011,Northeast,Rhode Island,17,10,7
2011,Northeast,Vermont,28,20,8
2011,South,Alabama,119,110,9
2011,South,Arkansas,76,70,6
2011,South,Delaware,15,10,5
2011,South,District Of Columbia,8,7,1
2011,South,Florida,513,492,21
2011,South,Georgia,185,170,15
2011,South,Kentucky,110,100,10
2011,South,Louisiana,73,70,3
2011,South,Maryland,84,80,4
2011,South,Mississippi,58,50,8
2011,South,North Carolina,184,170,14
2011,South,Oklahoma,120,110,10
2011,South,South Carolina,115,110,5
2011,South,Tennessee,161,150,11
2011,South,Texas,473,445,28
2011,South,Virginia,169,156,13
2011,South,West Virginia,56,50,6
2011,West,Alaska,18,10,8
2011,West,Arizona,197,180,17
2011,West,California,571,546,25
2011,West,Colorado,136,130,6
2011,West,Hawaii,23,20,3
2011,West,Idaho,56,50,6
2011,West,Montana,58,50,8
2011,West,Nevada,79,70,9
2011,West,New Mexico,68,60,8
2011,West,Oregon,130,120,10
2011,West,Utah,52,40,12
2011,West,Washington,156,146,10
2011,West,Wyoming,23,20,3
2012,Midwest,Illinois,172,160,12
2012,Midwest,Indiana,145,130,15
2012,Midwest,Iowa,53,50,3
2012,Midwest,Kansas,69,60,9
2012,Midwest,Michigan,163,150,13
2012,Midwest,Minnesota,112,110,2
2012,Midwest,Missouri,162,150,12
2012,Midwest,Nebraska,42,40,2
2012,Midwest,North Dakota,16,10,6
2012,Midwest,Ohio,248,240,8
2012,Midwest,South Dakota,20,10,10
2012,Midwest,Wisconsin,95,90,5
2012,Northeast,Connecticut,39,30,9
2012,Northeast,Maine,36,30,6
2012,Northeast,Massachusetts,63,60,3
2012,Northeast,New Hampshire,31,20,11
2012,Northeast,New Jersey,65,60,5
2012,Northeast,New York,184,180,4
