Cause of Death,Deaths,Percent,State,First Year,Last Year,Race/Ethnicty,Sex,Age Group
Fall,116,1.074770685,South,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,92,0.852404336,South,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",52,0.481793755,South,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",50,0.463263226,South,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,41,0.379875845,South,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,40,0.370610581,South,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,21,0.194570555,South,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,3329,54.37765436,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,1543,25.20418164,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,811,13.2473048,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,122,1.992812806,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Fall,93,1.519111402,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",53,0.865730154,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,47,0.767722966,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",40,0.653381248,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,33,0.53903953,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,29,0.473701405,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,22,0.359359686,Midwest,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,3744,53.76220563,West,2008,2008,"All Races,",Males,Ages 18-85+
Suffocation,1682,24.15278576,West,2008,2008,"All Races,",Males,Ages 18-85+
Poisoning,974,13.98621482,West,2008,2008,"All Races,",Males,Ages 18-85+
Fall,174,2.498564044,West,2008,2008,"All Races,",Males,Ages 18-85+
Cut/pierce,137,1.967260195,West,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",60,0.861573808,West,2008,2008,"All Races,",Males,Ages 18-85+
Drowning,52,0.7466973,West,2008,2008,"All Races,",Males,Ages 18-85+
Unspecified,43,0.617461229,West,2008,2008,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",41,0.588742102,West,2008,2008,"All Races,",Males,Ages 18-85+
Transportation- Related,32,0.459506031,West,2008,2008,"All Races,",Males,Ages 18-85+
Fire/burn,25,0.358989087,West,2008,2008,"All Races,",Males,Ages 18-85+
Firearm,15962,56.3868871,United States,2009,2009,"All Races,",Males,Ages 18-85+
Suffocation,6934,24.49484245,United States,2009,2009,"All Races,",Males,Ages 18-85+
Poisoning,3413,12.05666243,United States,2009,2009,"All Races,",Males,Ages 18-85+
Cut/pierce,553,1.953511375,United States,2009,2009,"All Races,",Males,Ages 18-85+
Fall,476,1.681503462,United States,2009,2009,"All Races,",Males,Ages 18-85+
Drowning,242,0.854882012,United States,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",220,0.777165466,United States,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",175,0.618199802,United States,2009,2009,"All Races,",Males,Ages 18-85+
Unspecified,143,0.505157553,United States,2009,2009,"All Races,",Males,Ages 18-85+
Fire/burn,106,0.374452452,United States,2009,2009,"All Races,",Males,Ages 18-85+
Transportation- Related,83,0.293203335,United States,2009,2009,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.00353257,United States,2009,2009,"All Races,",Males,Ages 18-85+
Firearm,1662,42.60446039,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Suffocation,1262,32.35067931,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Poisoning,556,14.2527557,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Fall,129,3.306844399,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Cut/pierce,103,2.640348629,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",55,1.409894899,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Drowning,47,1.204819277,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Unspecified,34,0.871571392,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",29,0.743399128,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Fire/burn,20,0.512689054,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Transportation- Related,3,0.076903358,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Struck by or Against,1,0.025634453,Northeast,2009,2009,"All Races,",Males,Ages 18-85+
Firearm,7147,63.45556246,South,2009,2009,"All Races,",Males,Ages 18-85+
Suffocation,2348,20.84702122,South,2009,2009,"All Races,",Males,Ages 18-85+
Poisoning,1169,10.37911746,South,2009,2009,"All Races,",Males,Ages 18-85+
Cut/pierce,179,1.589274616,South,2009,2009,"All Races,",Males,Ages 18-85+
Fall,121,1.074314126,South,2009,2009,"All Races,",Males,Ages 18-85+
Drowning,80,0.710290331,South,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",65,0.577110894,South,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",63,0.559353636,South,2009,2009,"All Races,",Males,Ages 18-85+
Unspecified,43,0.381781053,South,2009,2009,"All Races,",Males,Ages 18-85+
Fire/burn,28,0.248601616,South,2009,2009,"All Races,",Males,Ages 18-85+
Transportation- Related,20,0.177572583,South,2009,2009,"All Races,",Males,Ages 18-85+
Firearm,3220,54.49314605,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Suffocation,1544,26.12963276,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Poisoning,740,12.52326959,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Cut/pierce,113,1.912337113,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Fall,69,1.167710272,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Drowning,55,0.930783551,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",54,0.913860213,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Fire/burn,32,0.541546793,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Transportation- Related,29,0.490776781,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Unspecified,28,0.473853444,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",25,0.423083432,Midwest,2009,2009,"All Races,",Males,Ages 18-85+
Firearm,3933,54.36074637,West,2009,2009,"All Races,",Males,Ages 18-85+
Suffocation,1780,24.60262612,West,2009,2009,"All Races,",Males,Ages 18-85+
Poisoning,948,13.10297167,West,2009,2009,"All Races,",Males,Ages 18-85+
Cut/pierce,158,2.183828611,West,2009,2009,"All Races,",Males,Ages 18-85+
Fall,157,2.170006911,West,2009,2009,"All Races,",Males,Ages 18-85+
Drowning,60,0.829302004,West,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",56,0.774015204,West,2009,2009,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",48,0.663441603,West,2009,2009,"All Races,",Males,Ages 18-85+
Unspecified,38,0.525224603,West,2009,2009,"All Races,",Males,Ages 18-85+
Transportation- Related,31,0.428472702,West,2009,2009,"All Races,",Males,Ages 18-85+
Fire/burn,26,0.359364202,West,2009,2009,"All Races,",Males,Ages 18-85+
Firearm,16640,56.35710899,United States,2010,2010,"All Races,",Males,Ages 18-85+
Suffocation,7230,24.48689291,United States,2010,2010,"All Races,",Males,Ages 18-85+
Poisoning,3549,12.01991465,United States,2010,2010,"All Races,",Males,Ages 18-85+
Fall,567,1.920341394,United States,2010,2010,"All Races,",Males,Ages 18-85+
Cut/pierce,561,1.900020321,United States,2010,2010,"All Races,",Males,Ages 18-85+
Drowning,248,0.839937682,United States,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",231,0.782361309,United States,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",178,0.602858498,United States,2010,2010,"All Races,",Males,Ages 18-85+
Unspecified,147,0.497866287,United States,2010,2010,"All Races,",Males,Ages 18-85+
Fire/burn,95,0.321750322,United States,2010,2010,"All Races,",Males,Ages 18-85+
Transportation- Related,80,0.270947639,United States,2010,2010,"All Races,",Males,Ages 18-85+
Firearm,1749,41.59334126,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Suffocation,1428,33.95957194,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Poisoning,543,12.91319857,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Fall,144,3.424494649,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Cut/pierce,119,2.829964328,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Drowning,70,1.664684899,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",65,1.545778835,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Unspecified,33,0.784780024,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",26,0.618311534,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Fire/burn,18,0.428061831,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Transportation- Related,10,0.237812128,Northeast,2010,2010,"All Races,",Males,Ages 18-85+
Firearm,7386,64.49528467,South,2010,2010,"All Races,",Males,Ages 18-85+
Suffocation,2337,20.40691582,South,2010,2010,"All Races,",Males,Ages 18-85+
Poisoning,1152,10.05937827,South,2010,2010,"All Races,",Males,Ages 18-85+
Cut/pierce,164,1.432064268,South,2010,2010,"All Races,",Males,Ages 18-85+
Fall,136,1.187565491,South,2010,2010,"All Races,",Males,Ages 18-85+
Drowning,72,0.628711142,South,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",54,0.471533357,South,2010,2010,"All Races,",Males,Ages 18-85+
Unspecified,50,0.43660496,South,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",49,0.427872861,South,2010,2010,"All Races,",Males,Ages 18-85+
Fire/burn,37,0.32308767,South,2010,2010,"All Races,",Males,Ages 18-85+
Transportation- Related,15,0.130981488,South,2010,2010,"All Races,",Males,Ages 18-85+
Firearm,3482,55.19099699,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Suffocation,1597,25.31304486,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Poisoning,794,12.58519575,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Cut/pierce,124,1.965446188,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Fall,92,1.458234269,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
Drowning,49,0.776668252,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",46,0.729117134,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",41,0.649865272,Midwest,2010,2010,"All Races,",Males,Ages 18-85+
