Cause of Death,Deaths,Percent,State,First Year,Last Year,Race/Ethnicty,Sex,Age Group
Drowning,100,0.761092929,South,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",52,0.395768323,South,2016,2016,"All Races,",Males,Ages 18-85+
Fire/burn,45,0.342491818,South,2016,2016,"All Races,",Males,Ages 18-85+
Transportation- Related,39,0.296826242,South,2016,2016,"All Races,",Males,Ages 18-85+
Unspecified,22,0.167440444,South,2016,2016,"All Races,",Males,Ages 18-85+
Firearm,4218,56.68592931,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Suffocation,1965,26.4077409,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Poisoning,761,10.22712001,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Cut/pierce,162,2.17712673,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Fall,103,1.384222551,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",72,0.96761188,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Drowning,60,0.806343233,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Fire/burn,31,0.416610671,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Transportation- Related,28,0.376293509,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",21,0.282220132,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Unspecified,20,0.268781078,Midwest,2016,2016,"All Races,",Males,Ages 18-85+
Firearm,4536,52.80558789,West,2016,2016,"All Races,",Males,Ages 18-85+
Suffocation,2325,27.06635623,West,2016,2016,"All Races,",Males,Ages 18-85+
Poisoning,939,10.93131548,West,2016,2016,"All Races,",Males,Ages 18-85+
Fall,286,3.329452852,West,2016,2016,"All Races,",Males,Ages 18-85+
Cut/pierce,198,2.305005821,West,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",140,1.629802095,West,2016,2016,"All Races,",Males,Ages 18-85+
Drowning,64,0.745052386,West,2016,2016,"All Races,",Males,Ages 18-85+
Transportation- Related,35,0.407450524,West,2016,2016,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",32,0.372526193,West,2016,2016,"All Races,",Males,Ages 18-85+
Fire/burn,27,0.314318976,West,2016,2016,"All Races,",Males,Ages 18-85+
Unspecified,8,0.093131548,West,2016,2016,"All Races,",Males,Ages 18-85+
